experiment,model,arm,dataset,n,visual_requests,collected,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger,collection_rate
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aiops2025,93,93,93,0.77595495,0.30123039,0.87551696,1,1,,,,,1,,,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,re2_ob,90,90,90,0.77026865,0.30088415,0.84102564,1,1,,,,,1,,,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,re2_tt,90,90,90,0.76397016,0.30980099,0.84273504,1,1,,,,,1,,,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aegislab,96,96,96,0.78252349,0.36298651,0.78939996,1,0.6280737,,,0.3719263,,1,,,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aiops2022,100,100,100,0.79033279,0.34497266,0.81812559,1,0.64371274,,,0.35628726,,1,,,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aiops2025,93,93,93,0.78438542,0.34130639,0.81952237,1,0.64547906,,,0.35452094,,1,,,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,re2_ob,90,90,90,0.77819949,0.34782824,0.77969235,1,0.65212077,,,0.34787923,,1,,,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,re2_tt,90,90,90,0.77964105,0.36072999,0.7693297,1,0.6342804,,,0.3657196,,1,,,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aegislab,96,96,96,0.77833368,0.321485,0.85914782,1,0.89244719,,0.10755281,,,1,,1,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aiops2022,100,100,100,0.78611743,0.30880971,0.86241582,1,0.89461547,,0.10538453,,,1,,1,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aiops2025,93,93,93,0.77833597,0.33061652,0.83290715,1,0.8843168,,0.1156832,,,1,,1,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,re2_ob,90,90,90,0.77446784,0.33143654,0.80713702,1,0.86663747,,0.13336253,,,1,,1,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,re2_tt,90,90,90,0.76563583,0.33516028,0.81517629,1,0.88918016,,0.11081984,,,1,,1,,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aegislab,96,96,96,0.79032152,0.3766343,0.76971246,1,0.57798833,,0.068901679,0.35310999,,1,,1,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aiops2022,100,100,100,0.79770305,0.35273464,0.8030627,1,0.61511389,,0.069713006,0.3151731,,1,,1,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aiops2025,93,93,93,0.78831742,0.35511089,0.80742348,1,0.61398044,,0.080410719,0.30560885,,1,,1,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,re2_ob,90,90,90,0.7801454,0.35354395,0.77511521,1,0.61140074,,0.088004699,0.30059456,,1,,1,1,,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,re2_tt,90,90,90,0.78298654,0.36689017,0.76280404,1,0.6102709,,0.074037212,0.31569189,,1,,1,1,,1
