experiment,model,arm,dataset,fault_type,n,ac1,ac3,ac5,mrr,unknown_ids
direct_rca,gemma-4-26b-a4b,R,aiops2025,io fault,5,0.4,0.4,0.4,0.4,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,jvm cpu,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,jvm exception,3,0.33333333,0.66666667,0.66666667,0.44444444,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,jvm gc,2,0,0.5,0.5,0.25,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,jvm latency,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,memory stress,6,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,network corrupt,6,0.66666667,0.83333333,0.83333333,0.75,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,network delay,7,0.28571429,0.28571429,0.28571429,0.28571429,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,network loss,5,0.6,0.6,0.6,0.6,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,node cpu stress,6,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,node disk fill,4,0.25,0.5,0.5,0.375,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,node memory stress,12,0.25,0.33333333,0.41666667,0.29444444,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,pod failure,10,0,0.1,0.1,0.033333333,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,pod kill,2,0,0.5,0.5,0.16666667,0
direct_rca,gemma-4-26b-a4b,R,aiops2025,target port misconfig,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,R,re2_ob,cpu,15,0.93333333,0.93333333,0.93333333,0.93333333,0
direct_rca,gemma-4-26b-a4b,R,re2_ob,delay,15,0.53333333,0.73333333,0.8,0.61666667,0
direct_rca,gemma-4-26b-a4b,R,re2_ob,disk,15,0.86666667,1,1,0.93333333,0
direct_rca,gemma-4-26b-a4b,R,re2_ob,loss,15,0.46666667,0.6,0.6,0.52222222,1
