experiment,model,arm,dataset,top1_outcome,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
direct_rca,qwen3.8-27b,R,aiops2022,incorrect,86,0.85812528,0.11487624,0.94767442,,0.67124656,0.025464332,0.035479942,0.26780916,,1.0272789,0.54323908,0.75690543,1.061309,
direct_rca,qwen3.8-27b,R,aiops2025,correct,19,0.85940905,0.12134643,0.94736842,,0.66560241,0.024484952,0.032269841,0.2776428,,1.0142513,0.52234564,0.68842328,1.1105712,
direct_rca,qwen3.8-27b,R,aiops2025,incorrect,74,0.86165444,0.11565936,0.95114345,,0.65983298,0.025268648,0.03347644,0.28142193,,1.0054598,0.53906448,0.71416406,1.1256877,
direct_rca,qwen3.8-27b,R,re2_ob,correct,30,0.85300537,0.10937833,0.94102564,,0.65765963,0.026476412,0.041502407,0.27436155,,1.002148,0.56483013,0.88538467,1.0974462,
direct_rca,qwen3.8-27b,R,re2_ob,incorrect,60,0.85171644,0.1098095,0.95320513,,0.66227192,0.026566507,0.039318478,0.2718431,,1.0091763,0.56675214,0.83879419,1.0873724,
direct_rca,qwen3.8-27b,R,re2_tt,correct,31,0.85936017,0.098960233,0.94416873,,0.66287531,0.02677508,0.037743872,0.27260574,,1.0175357,0.57120171,0.8052026,1.0745737,
direct_rca,qwen3.8-27b,R,re2_tt,incorrect,59,0.85753629,0.10726086,0.94850065,,0.65403637,0.02690219,0.035863326,0.28319812,,1.0149394,0.58911293,0.76807132,1.0874706,
direct_rca,qwen3.8-27b,V,aegislab,correct,30,0.84748692,0.10183591,0.95897436,,0.65895047,0.026325513,0.027471352,0.28725266,,1.0377072,0.56636743,0.5860555,1.0701281,
direct_rca,qwen3.8-27b,V,aegislab,incorrect,66,0.84589589,0.10746912,0.95979021,,0.65592613,0.025350761,0.02846849,0.29025462,,1.0304272,0.55029176,0.60732779,1.0892425,
direct_rca,qwen3.8-27b,V,aiops2022,correct,11,0.85987553,0.083420177,0.96153846,,0.70142008,0.026101809,0.022583159,0.24989495,,1.0688306,0.5568386,0.48177407,0.99957979,
direct_rca,qwen3.8-27b,V,aiops2022,incorrect,89,0.85901039,0.087188758,0.96110631,,0.7005754,0.026435236,0.022263914,0.25072545,,1.072009,0.56395169,0.47496349,0.99339845,
direct_rca,qwen3.8-27b,V,aiops2025,correct,16,0.86454337,0.10229275,0.96153846,,0.68864493,0.023350807,0.022581636,0.26542262,,1.0493637,0.49815056,0.48174156,1.0616905,
direct_rca,qwen3.8-27b,V,aiops2025,incorrect,77,0.86448002,0.10079983,0.96053946,,0.68676083,0.022913856,0.022968255,0.26735706,,1.0464927,0.48882893,0.48998944,1.0694282,
direct_rca,qwen3.8-27b,V,re2_ob,correct,31,0.85577164,0.082385476,0.96029777,,0.69055754,0.023017769,0.021133888,0.2652908,,1.0522782,0.49104575,0.45085627,1.0611632,
direct_rca,qwen3.8-27b,V,re2_ob,incorrect,59,0.85601157,0.086610673,0.96153846,,0.68738398,0.023502061,0.021428052,0.2676859,,1.0474423,0.5013773,0.45713178,1.0707436,
direct_rca,qwen3.8-27b,V,re2_tt,correct,28,0.85869312,0.093125772,0.96153846,,0.64036947,0.042692883,0.033411478,0.28352617,,0.9837933,0.91078151,0.7127782,1.1151522,
direct_rca,qwen3.8-27b,V,re2_tt,incorrect,62,0.85783103,0.098400872,0.95409429,,0.63801128,0.040647462,0.034129957,0.28721131,,0.98938711,0.88288518,0.73148429,1.1058188,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aegislab,correct,41,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aegislab,incorrect,55,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2022,correct,26,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2022,incorrect,74,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2025,correct,16,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2025,incorrect,77,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_ob,correct,72,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_ob,incorrect,18,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_tt,correct,48,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_tt,incorrect,42,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aegislab,correct,39,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aegislab,incorrect,57,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2022,correct,20,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2022,incorrect,80,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2025,correct,16,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2025,incorrect,77,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_ob,correct,62,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_ob,incorrect,28,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_tt,correct,41,,,,,,,,,,,,,,
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_tt,incorrect,49,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,aegislab,correct,31,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,aegislab,incorrect,65,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,aiops2022,correct,29,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,aiops2022,incorrect,71,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,aiops2025,correct,24,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,aiops2025,incorrect,69,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,re2_ob,correct,63,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,re2_ob,incorrect,27,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,re2_tt,correct,44,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_hyb,re2_tt,incorrect,46,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,aegislab,correct,31,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,aegislab,incorrect,65,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,aiops2022,correct,21,,,,,,,,,,,,,,
