experiment,model,arm,dataset,n,supported,unsupported,binding_rate
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gt,re2_ob,90,516,24,0.95555556
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gt,re2_tt,90,483,49,0.90789474
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gv,aegislab,96,446,68,0.86770428
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gv,aiops2022,100,305,41,0.88150289
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gv,aiops2025,93,356,25,0.9343832
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gv,re2_ob,90,485,55,0.89814815
typed_two_stage,qwen3.6-27b,Mv-Rt-Lt-Gv,re2_tt,90,476,56,0.89473684
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gt,aegislab,96,441,73,0.85797665
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gt,aiops2022,100,316,30,0.9132948
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gt,aiops2025,93,336,45,0.88188976
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gt,re2_ob,90,479,61,0.88703704
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gt,re2_tt,90,422,110,0.79323308
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gv,aegislab,96,436,78,0.84824903
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gv,aiops2022,100,313,33,0.90462428
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gv,aiops2025,93,329,52,0.86351706
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gv,re2_ob,90,453,87,0.83888889
typed_two_stage,qwen3.6-27b,Mv-Rt-Lv-Gv,re2_tt,90,420,112,0.78947368
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gt,aegislab,96,425,89,0.82684825
