experiment,model,arm,dataset,root_service,n,ac1,mrr
direct_rca,gemma-4-26b-a4b,P,re2_tt,ts-auth-service,18,0.27777778,0.27777778
direct_rca,gemma-4-26b-a4b,P,re2_tt,ts-order-service,18,0.22222222,0.22222222
direct_rca,gemma-4-26b-a4b,P,re2_tt,ts-route-service,18,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,re2_tt,ts-train-service,18,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,re2_tt,ts-travel-service,18,0.16666667,0.16666667
direct_rca,gemma-4-26b-a4b,R,aegislab,mysql,6,0.5,0.5
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-assurance-service,5,0.6,0.66666667
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-auth-service,4,0.5,0.5
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-basic-service,19,0.21052632,0.23859649
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-config-service,6,0.16666667,0.25
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-consign-service,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-contacts-service,2,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-food-service,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-inside-payment-service,2,1,1
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-order-other-service,4,0.5,0.5
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-order-service,5,0.4,0.46666667
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-preserve-service,5,0.4,0.6
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-price-service,2,1,1
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-route-plan-service,6,0.5,0.55555556
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-route-service,4,0.5,0.5
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-seat-service,6,0.33333333,0.38888889
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-security-service,1,0,0.5
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-station-food-service,1,1,1
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-station-service,1,1,1
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-train-service,2,0,0
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-travel-plan-service,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-travel-service,3,0.33333333,0.5
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-travel2-service,2,1,1
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-user-service,1,1,1
direct_rca,gemma-4-26b-a4b,R,aegislab,ts-verification-code-service,1,0,0
