experiment,model,arm,dataset,n,overall,level1,level2,level3,query_id_valid,step_accuracy
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aiops2025,93,0.79569892,0.90322581,0.80769231,0.34090909,1,0.81541219
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,re2_ob,90,0.55185185,0.91111111,0.47777778,0.26666667,1,0.60740741
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,re2_tt,90,0.56851852,0.78888889,0.51685393,0.38636364,1,0.66851852
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aegislab,96,0.44791667,0.75,0.27368421,0.27631579,1,0.51736111
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aiops2022,100,0.795,0.89,0.77083333,0.27777778,1,0.845
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aiops2025,93,0.75806452,0.83870968,0.79487179,0.38636364,1,0.79569892
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,re2_ob,90,0.5037037,0.76666667,0.5,0.24444444,1,0.5962963
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,re2_tt,90,0.47592593,0.55555556,0.4494382,0.40909091,1,0.62962963
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aegislab,96,0.578125,0.94791667,0.35789474,0.40789474,1,0.70833333
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aiops2022,100,0.71166667,0.93,0.52083333,0.38888889,1,0.715
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aiops2025,93,0.88172043,0.97849462,0.88461538,0.54545455,1,0.92114695
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,re2_ob,90,0.56296296,0.94444444,0.48888889,0.25555556,1,0.62222222
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,re2_tt,90,0.59444444,0.86666667,0.48314607,0.42045455,1,0.68888889
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aegislab,96,0.546875,0.89583333,0.34736842,0.35526316,1,0.69270833
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aiops2022,100,0.68333333,0.89,0.5,0.44444444,1,0.695
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aiops2025,93,0.8172043,0.90322581,0.83333333,0.5,1,0.86379928
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,re2_ob,90,0.53703704,0.75555556,0.48888889,0.36666667,1,0.63888889
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,re2_tt,90,0.40555556,0.46666667,0.39325843,0.34090909,1,0.58518519
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aegislab,96,0.5,0.76041667,0.33684211,0.38157895,1,0.66319444
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aiops2022,100,0.76166667,0.9,0.66666667,0.44444444,1,0.815
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aiops2025,93,0.81899642,0.90322581,0.78205128,0.56818182,1,0.87455197
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,re2_ob,90,0.58888889,0.88888889,0.5,0.37777778,1,0.6962963
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,re2_tt,90,0.57962963,0.72222222,0.48314607,0.52272727,1,0.72222222
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aegislab,96,0.45138889,0.6875,0.28421053,0.36842105,1,0.63020833
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aiops2022,100,0.7,0.82,0.63541667,0.38888889,1,0.76
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aiops2025,93,0.71146953,0.78494624,0.69230769,0.47727273,1,0.81182796
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,re2_ob,90,0.47777778,0.66666667,0.43333333,0.33333333,1,0.63333333
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,re2_tt,90,0.45,0.47777778,0.42696629,0.43181818,1,0.67037037
cross_region,qwen3.6-27b,P,aegislab,96,0.53298611,0.92708333,0.30526316,0.31578947,1,0.52430556
cross_region,qwen3.6-27b,P,aiops2022,100,0.65166667,0.94,0.42708333,0,1,0.64
cross_region,qwen3.6-27b,P,aiops2025,93,0.82078853,0.97849462,0.84615385,0.22727273,1,0.79749104
cross_region,qwen3.6-27b,P,re2_ob,90,0.52592593,0.96666667,0.44444444,0.16666667,1,0.52962963
cross_region,qwen3.6-27b,P,re2_tt,90,0.56481481,0.96666667,0.47191011,0.23863636,1,0.5537037
cross_region,qwen3.6-27b,V,aegislab,96,0.40277778,0.66666667,0.28421053,0.22368421,1,0.56770833
cross_region,qwen3.6-27b,V,aiops2022,100,0.66833333,0.76,0.625,0.27777778,1,0.74166667
cross_region,qwen3.6-27b,V,aiops2025,93,0.71146953,0.77419355,0.70512821,0.38636364,1,0.78673835
cross_region,qwen3.6-27b,V,re2_ob,90,0.46296296,0.66666667,0.45555556,0.26666667,1,0.59444444
cross_region,qwen3.6-27b,V,re2_tt,90,0.37592593,0.44444444,0.34831461,0.31818182,1,0.58888889
cross_region,qwen3.8-27b,H,aegislab,96,0.33333333,0.47916667,0.21875,0.2967033,1,0.50868056
cross_region,qwen3.8-27b,H,aiops2022,100,0.36833333,0.45,0.32291667,0.17391304,1,0.48833333
cross_region,qwen3.8-27b,H,aiops2025,93,0.34587814,0.47311828,0.20689655,0.3,1,0.49103943
cross_region,qwen3.8-27b,H,re2_ob,90,0.27407407,0.44444444,0.23333333,0.14444444,1,0.44259259
cross_region,qwen3.8-27b,H,re2_tt,90,0.31111111,0.46666667,0.2247191,0.22727273,1,0.50555556
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gt,aegislab,96,0.42013889,0.69791667,0.27083333,0.28571429,1,0.49479167
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gt,aiops2022,100,0.47666667,0.68,0.3125,0.17391304,1,0.51833333
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gt,aiops2025,93,0.46236559,0.66666667,0.27586207,0.325,1,0.51971326
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gt,re2_ob,90,0.46666667,0.78888889,0.37777778,0.23333333,1,0.53333333
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gt,re2_tt,90,0.43518519,0.68888889,0.35955056,0.23863636,1,0.52777778
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gv,aegislab,96,0.32118056,0.55208333,0.1875,0.21978022,1,0.44270833
